OnePlus-8                   192.168.0.139
EB228-10524                 192.168.0.128
EB228-EE10900               192.168.0.170
its-12-30-38                192.168.0.113
bryjr-Precision-3650-Tower  192.168.0.156
ELO-arch                    192.168.0.116
Pixel-6-Pro                 192.168.0.125
Ovaltine                    192.168.0.146	
EB228-EE10901	            192.168.0.199   self
DESKTOP-16GR9NC	            192.168.0.142
android-874ca30843991bd3	192.168.0.177
EB228-EE11708	            192.168.0.112
R7800	                    192.168.0.144
EB228-EE11748               192.168.0.197
Alfor	                    192.168.0.158
sss	                        192.168.0.110
EB228-EE10961	            192.168.0.162
raspberrypi	                192.168.0.159	
raspberrypi	                192.168.0.163
EB228-EE10940	            192.168.0.157
bbceaspi	                192.168.0.164
---
shellyrgbw2-DDD5B8	        192.168.0.160
shellyrgbw2-DDC6A0	        192.168.0.138	
shellyrgbw2-DE34E2	        192.168.0.106
shellyrgbw2-DDC4B9	        192.168.0.161
Google-Home-Mini	        192.168.0.136
bbceaspi	                192.168.0.168
ecb5fa8326e9	            192.168.0.141
octopi	                    192.168.0.111
--	                        192.168.0.109
homeassistant	            192.168.0.166	
Linksys00779	            192.168.0.172
TL-POE-SWITCH-1	            192.168.0.105
