192.168.0.128,192.168.0.170,192.168.0.112,192.168.0.197,192.168.0.162
0.156,0.142,0.292,0.172,0.112
0.164,0.148,0.295,0.184,0.126
0.165,0.161,0.298,0.184,0.13
0.167,0.163,0.303,0.199,0.133
0.17,0.163,0.303,0.212,0.135
0.171,0.164,0.307,0.215,0.136
0.171,0.165,0.312,0.219,0.139
0.173,0.167,0.313,0.224,0.14
0.174,0.168,0.326,0.236,0.151
0.175,0.168,0.326,0.239,0.153
0.176,0.17,0.329,0.24,0.155
0.176,0.171,0.329,0.244,0.156
0.18,0.171,0.329,0.244,0.156
0.181,0.176,0.329,0.245,0.156
0.183,0.179,0.331,0.245,0.164
0.184,0.183,0.332,0.246,0.165
0.185,0.185,0.333,0.247,0.172
0.186,0.186,0.339,0.248,0.173
0.189,0.186,0.339,0.25,0.173
0.19,0.189,0.341,0.251,0.173
0.191,0.189,0.343,0.251,0.176
0.191,0.19,0.345,0.251,0.176
0.192,0.192,0.346,0.252,0.177
0.192,0.195,0.348,0.253,0.179
0.194,0.196,0.351,0.257,0.18
0.194,0.197,0.351,0.258,0.182
0.195,0.198,0.352,0.258,0.182
0.197,0.199,0.356,0.262,0.183
0.197,0.2,0.357,0.262,0.184
0.201,0.201,0.361,0.263,0.185
0.201,0.203,0.361,0.265,0.186
0.203,0.203,0.362,0.265,0.187
0.203,0.203,0.363,0.268,0.188
0.204,0.205,0.366,0.268,0.188
0.204,0.205,0.366,0.269,0.188
0.207,0.205,0.368,0.27,0.189
0.207,0.205,0.368,0.271,0.189
0.208,0.206,0.37,0.272,0.189
0.208,0.208,0.377,0.272,0.19
0.21,0.208,0.378,0.274,0.19
0.211,0.208,0.381,0.274,0.191
0.212,0.209,0.385,0.275,0.191
0.213,0.209,0.387,0.275,0.191
0.213,0.209,0.389,0.278,0.192
0.214,0.21,0.402,0.279,0.193
0.215,0.21,0.403,0.28,0.194
0.216,0.21,0.407,0.28,0.195
0.216,0.21,0.412,0.28,0.196
0.217,0.211,0.417,0.281,0.196
0.217,0.211,0.434,0.281,0.196
0.217,0.212,0.448,0.282,0.196
0.218,0.212,0.452,0.282,0.197
0.218,0.212,0.452,0.283,0.197
0.219,0.213,0.453,0.283,0.197
0.22,0.214,0.457,0.283,0.199
0.221,0.215,0.472,0.285,0.199
0.221,0.216,0.473,0.288,0.199
0.221,0.217,0.49,0.288,0.199
0.222,0.217,0.493,0.29,0.2
0.223,0.218,0.508,0.29,0.2
0.223,0.219,0.51,0.292,0.201
0.223,0.219,0.516,0.293,0.201
0.224,0.22,0.577,0.293,0.201
0.224,0.221,0.599,0.294,0.201
0.226,0.221,0.607,0.294,0.201
0.227,0.221,0.65,0.295,0.201
0.227,0.222,0.73,0.295,0.202
0.227,0.223,0.792,0.296,0.203
0.228,0.224,0.818,0.296,0.203
0.228,0.224,0.82,0.296,0.203
0.229,0.225,0.862,0.296,0.203
0.229,0.225,0.871,0.298,0.203
0.229,0.225,0.879,0.298,0.203
0.229,0.225,0.879,0.3,0.203
