192.168.0.159,192.168.0.163,192.168.0.157,192.168.0.164,192.168.0.160
2.09,0.118,0.204,0.175,1.57
2.35,0.12,0.224,0.191,1.57
2.35,0.121,0.224,0.192,1.58
2.35,0.125,0.225,0.2,1.64
2.36,0.125,0.226,0.204,1.64
2.37,0.125,0.227,0.204,1.65
2.39,0.126,0.238,0.206,1.65
2.4,0.126,0.25,0.207,1.66
2.43,0.129,0.255,0.209,1.66
2.45,0.13,0.261,0.214,1.66
2.46,0.131,0.262,0.216,1.67
2.47,0.131,0.265,0.217,1.67
2.48,0.131,0.266,0.219,1.69
2.48,0.132,0.272,0.221,1.71
2.48,0.132,0.283,0.221,1.71
2.48,0.133,0.293,0.222,1.72
2.49,0.133,0.293,0.223,1.73
2.49,0.134,0.294,0.224,1.73
2.49,0.135,0.296,0.224,1.73
2.49,0.135,0.306,0.225,1.73
2.5,0.135,0.312,0.225,1.74
2.5,0.135,0.313,0.227,1.74
2.5,0.135,0.324,0.228,1.74
2.5,0.136,0.328,0.228,1.75
2.51,0.136,0.334,0.229,1.75
2.51,0.136,0.338,0.23,1.75
2.52,0.137,0.341,0.233,1.76
2.52,0.137,0.342,0.236,1.76
2.52,0.138,0.342,0.236,1.76
2.52,0.138,0.353,0.238,1.77
2.52,0.138,0.353,0.239,1.77
2.53,0.138,0.356,0.239,1.78
2.53,0.139,0.358,0.241,1.78
2.53,0.139,0.359,0.243,1.79
2.54,0.14,0.36,0.245,1.79
2.54,0.14,0.367,0.246,1.79
2.54,0.141,0.367,0.247,1.8
2.54,0.142,0.369,0.247,1.8
2.54,0.144,0.371,0.247,1.8
2.54,0.145,0.373,0.247,1.81
2.55,0.146,0.377,0.247,1.81
2.55,0.146,0.378,0.248,1.81
2.55,0.148,0.378,0.249,1.81
2.56,0.15,0.379,0.251,1.81
2.56,0.151,0.38,0.251,1.82
2.57,0.151,0.383,0.252,1.82
2.58,0.152,0.384,0.252,1.82
2.58,0.154,0.386,0.252,1.83
2.58,0.154,0.386,0.253,1.83
2.58,0.154,0.386,0.253,1.83
2.58,0.155,0.388,0.254,1.84
2.59,0.155,0.389,0.254,1.84
2.59,0.157,0.392,0.255,1.84
2.59,0.158,0.392,0.255,1.85
2.59,0.16,0.394,0.255,1.85
2.6,0.164,0.396,0.255,1.85
2.6,0.165,0.396,0.256,1.85
2.61,0.166,0.396,0.256,1.85
2.61,0.167,0.396,0.256,1.85
2.61,0.172,0.398,0.256,1.85
2.61,0.172,0.398,0.256,1.85
2.62,0.173,0.398,0.256,1.85
2.62,0.173,0.398,0.256,1.86
2.63,0.174,0.398,0.257,1.86
2.63,0.176,0.399,0.257,1.86
2.63,0.176,0.399,0.257,1.87
2.63,0.177,0.399,0.257,1.87
2.64,0.178,0.4,0.257,1.87
2.64,0.179,0.4,0.258,1.88
2.64,0.179,0.4,0.258,1.88
2.64,0.18,0.4,0.258,1.88
2.64,0.18,0.401,0.258,1.88
2.64,0.181,0.401,0.258,1.88
2.65,0.181,0.402,0.258,1.88
2.65,0.181,0.403,0.259,1.89
2.65,0.181,0.403,0.259,1.89
2.65,0.181,0.403,0.259,1.89
2.65,0.182,0.403,0.259,1.89
2.65,0.182,0.403,0.259,1.9
2.65,0.182,0.404,0.259,1.9
2.66,0.183,0.404,0.259,1.9
2.66,0.183,0.404,0.259,1.9
2.66,0.184,0.404,0.26,1.91
2.66,0.184,0.404,0.26,1.91
2.67,0.184,0.405,0.26,1.91
2.67,0.185,0.406,0.26,1.91
2.67,0.185,0.406,0.26,1.92
2.67,0.186,0.406,0.26,1.92
2.67,0.187,0.406,0.26,1.92
2.67,0.189,0.406,0.26,1.92
2.67,0.19,0.406,0.26,1.92
2.67,0.19,0.407,0.26,1.92
2.68,0.19,0.407,0.26,1.93
2.68,0.191,0.407,0.26,1.93
2.68,0.191,0.407,0.26,1.93
2.68,0.191,0.407,0.26,1.94
2.68,0.192,0.408,0.26,1.94
2.68,0.192,0.408,0.26,1.94
2.69,0.192,0.408,0.26,1.94
2.69,0.192,0.409,0.261,1.94
2.69,0.194,0.409,0.261,1.94
2.69,0.194,0.41,0.261,1.94
2.69,0.195,0.41,0.261,1.94
2.69,0.195,0.41,0.261,1.94
2.69,0.195,0.41,0.261,1.94
2.69,0.195,0.411,0.261,1.94
2.69,0.195,0.411,0.262,1.94
